context_id	word	gold_sense_id	predict_sense_id	positions	context
35	дар	2.3		55-62	поднять глаз амвон стоять священник святой дар чудиться скорбный свет идти чаша
36	дар	2.3		127-134	джованни хотеться повторяться чудо говорить савонарола огненный луч выходить чаша святой дар выжгать тело раскалять железо крестный рана
37	двигатель	1		0-10	двигатель взреветь машина резко рвануться место
38	двигатель	1		10-20	двигатель отказать остальной дотянуть самолет место посадка
39	двигатель	1		56-66	страховать приходиться транспортный средство объем двигатель более кубль смотреть
40	двигатель	1		38-48	идти очень медленно потому двигатель работать четверть сила
41	двигатель	1		27-38	как изменяться рев двигатель догадываться зарабатывать второй ступень
42	двигатель	1		36-46	дверь сходиться где-то внизу загудеть двигатель лифт исковеркать вздыхать николай васильевич
43	двигатель	2		7-17	труд двигатель культура
44	двигатель	2		8-18	наука двигатель прогресс
45	двигатель	2		10-20	реклама двигатель торговля
46	двигатель	2		57-67	открывать широкий кредит кредит братец двигатель торговля коммерция
47	двигатель	2		30-40	общий злость сеня лучший двигатель дело
48	двигатель	2		9-19	основной двигатель страх иной сила долг разум совесть
49	двигатель	2			однажды ключик
50	двигатель	2		40-50	сказать знать более сильный двигатель творчество зависть
51	двигатель	2		58-68	всеобщий преследование влиятельный старик принцип двигатель нынешний общественный жизнь казаться старик вахтрать логичный
52	двойник	1.1		47-56	говорить многие известный политик быть двойник
53	двойник	1.1		25-35	говорить конкурс двойник чарли чаплин сам чаплин занимать третий место
54	двойник	1.1		105-114	похищать чертеж аппарат удаваться потому бездельник нанять семенов убивать гарин двойник
55	двойник	1.1		22-30	поговаривать двойник зыкина фонограмма рот открывать
56	двойник	1.1		8-16	где тут двойник где подлинный гитлер
57	двойник	1.1		138-147	непременный сигнал встреча оставить определенный место машина огородник необходимый срочно подготавливать двойник спутница ольга
58	двойник	1.1		21-31	знакомить двойник болгарский артист смотреть друг друг жуткий хохотать
59	двойник	1.2		6-15	фирма двойник
60	двойник	1.2		6-15	сайт двойник
61	двойник	1.2		55-66	автомобильный номер машина преступник оказываться двойник реальный номер
62	двойник	1.2		161-171	крупный лос-анджелесский парфюмерный компания резонно указывать производить продавать парфюм название glow еще год намерен терпеть «двойников»
63	двойник	1.2		62-73	версия предлагать продажа вексель являться двойник сжигать
64	двойник	1.2		52-62	официальный сайт мосгордума появляться двойник подставной адрес бесследно исчезать депутатский почта запрос гражданин
65	двойник	1.2		50-60	сейчас закон предусматривать санкция отношение «двойников» случай наименование копировать полностью
66	двойник	2		11-19	лирический двойник зеркало автор
67	двойник	2		33-43	достоевский важный тема двойник
68	двойник	2		7-16	двойник видеть галлюцинаторный переживание гете
69	двойник	2		133-143	лужин томно рассеять комната спать лужин представлять шахматный доска бодрствовать мочь сливаться счастливый двойник
70	двойник	2		95-106	британский физик стивен хоукинг полагать «иметься бесконечный множество вселенная являться двойник вселенной»
71	двойник	2		44-52	лифт медленно ползти вверх сумеречный лифт двойник обычный по-прежнему стоять первый этаж
72	двойник	3		31-39	зорге разоблачить агент -двойник
73	двойник	3		96-105	менее многие гру разъярять мягкость понесенный луковый наказание агент двойник допускать утечка
74	двойник	3		26-36	«сдвоился» значить «ставать двойником» работать противник дезинформировать
75	двойник	3		42-50	осторожный профессиональный шпион-двойник
76	двойник	3		142-152	руська соглашаться стукач любовь спорт желание изучать метод мгб выявлять подлинный стукач постигать судьба двойник игра по-прежнему доносить стать сторониться
77	дворец	1		8-15	царский дворец
78	дворец	1		0-7,30-37	дворец настоящий дворец
79	дворец	1		60-67	знатнейший вельможа империя подъезжать ворота дворец часовой голова приходить расспрашивать быть
80	дворец	1		72-80	огромный напоминать лоскутный одеяло стяг республика развеваться дворец правитель
81	дворец	1		26-34	ханское величие мраморный дворец смениться глинобитный пригород
82	дворец	1		19-26	экран мелькать дворец хижина какой-то страна контраст мягкий голос кадр рассказывать латифундия олигархия
83	дворец	1		18-25	казаться дворец непременно должен сложный цельный мраморный глыба увенчать золоченый купол шпиль принцип отличаться любой дом невский широкий стоять вид
84	дворец	2		0-7	дворец бракосочетание
85	дворец	2		0-7	дворец спорт
86	дворец	2		0-7	дворец пионер школьник
87	дворец	2		79-86	первый день новогодний праздник дмитрий юлька подавать заявление дворец бракосочетание
88	дворец	2		53-60	план академия быть строительство собственный дворец кинематография
89	дворец	2		13-20	огромный зал дворец молодежь комсомольский проспект забивать отказ
90	девятка	1.1		0-8	девятка нечетный число
91	девятка	1.1		13-21	ставить девятка
92	девятка	1.1		8-18	считать девятка
93	девятка	1.1		146-154	число «семь» указывать скорее интересовать фраза иметь исламской происхождение точно арабский турки татарин отдавать первенство девятка
94	девятка	1.1		0-8	девятка оккультный наука полный путь начало самый конец полный круг градус
95	девятка	1.2		22-30	город звонить «девятку»
96	девятка	1.2		43-51	надо рисовать конец шпага восьмерку девятка
97	девятка	1.2		96-104	завешивать рука нуль потом опускать подставлять нуль аккуратный черный лапка получаться девятка
98	девятка	1.2		98-106	один вариант запись начинать второй цифра запятая идти один нуль другой один девятка
99	девятка	1.2		42-50,90-99	скорее надо набирать номер девятка обычно давать выход город девятка получаться
100	девятка	1.2		94-102	отец следить дорога каждый раз пропускать момент спидометра сразу много девятка заменять многие нуль
101	девятка	2		0-8	девятка сильнейший игрок
102	девятка	2		11-19	входить девятка высший руководитель китай
103	девятка	2		94-102	опушка лес стоять привязь жертвенный кобылица жертвенный бык девятка жертвенный овца поминальный тризна
104	девятка	2		0-8	девятка реактивный истребитель звено строить «клин» огромный скорость ринуться заоблачный высота земля
105	девятка	2		48-56	женский турнир входить «супердевять» девятка крупный турнир мир
106	девятка	2		135-143	развивать концепция мироустройство европа заговаривать включение китай большой восьмерка превращаться образ девятка
107	девятка	2		63-71	потенциал быть известный сосредоточить знаменитый «девятке» союзный министерство впк
108	девятка	3.1		33-41	оставаться валет десяток девятка
109	девятка	3.1		28-36	игра старший карта девятка
110	девятка	3.1		30-38	стать метать направо ложиться девятка налево тройка
111	девятка	3.1		12-20	девятка банкомет
112	девятка	3.1		47-55,82-90	фил смахнуть рука пот лоб открывать карта девятка восклицать девятка «стрит»
113	девятка	3.2		15-23	стать играть девятка
114	девятка	3.2		2-10	девятка вечно везти
115	девятка	3.2		110-118	нестор иванович входить гость вставать стол подать рука предлагать перекидываться девятка интерес
116	девятка	3.2		58-66	бабушка дядя юра говорить говорить потом играть «девятку» обучить неудовольствие папа простенький карточный игра колюня
117	девятка	3.2		40-48	что выигрывать девятка облигация принадлежать автомобильной клуб
118	девятка	3.3		12-20	восьмерк девятка разновидность бильярд
119	девятка	3.3		26-34	москва проходить турнир девятка
120	девятка	3.3		0-8	девятка отличаться предыдущий игра использовать нумерованный шар биток
121	девятка	3.3		75-83	мужчина составлять табель ранг менее известный разновидность пул «девятке»
122	девятка	4.1		40-48	подъезд припарковать чей-то вишневой девятка
123	девятка	4.1		16-24	проходить уже «девятки» семнадцатый идти
124	девятка	4.1		43-51	хлебный фургон доставлять мешок остановка «девятки» 10-й хлебозавод
125	девятка	4.1		1-9	«девятка» дом помещаться гастрономический магазин номер
126	девятка	4.1		70-78	предлагать апологету иномарка покупать «жигули» «оду» подержать «девятку» пустой дело
127	девятка	4.1		21-29	постучать палец «девятке» стекло витрина просить холодный вспоминать какой-то передача пиво дескать натуральный девятый «балтику» подмешивать спирт
128	девятка	4.2		23-31	игрок отправлять мяч девятка
129	девятка	4.2		31-39	голый эффектно забивать прямо девятка
130	девятка	4.2		30-38	шайба влететь точно правый «девятку» ворота финский команда
131	девятка	4.2		81-89	победный гол матч забивать капитан хозяин егор титов мастерски положить мяч девятка пас никита баженов
132	девятка	4.3		25-33	полковник дважды попадать девятка раз десяток
133	девятка	4.3		58-66	стрелка разряжать мишень обойма раз попадать «девятку»
134	девятка	4.3		43-51	стать мазать уже «десятку» «девятку» всаживать пуля разброс круг мишень
135	девятка	4.3		108-116	количество балл спортсмен стать начислять зависимость сектор попадание предел «десятки» «девятки» «восьмерки» так далее
136	девятка	4.3		75-83	дебютант взрослый чемпионат мир девятнадцатилетний азаренко попадать «десятку» «девятку» занимать четвертый место
137	дедушка	1		18-27	деревня ходить дедушка рыбалка
138	дедушка	1		0-8	дедушка быть
139	дедушка	1		32-40	кладбище казаться дедушка хоронить
140	дедушка	1		121-129	лева стать играть школьный джаз мочь понравиться опасный наследственность линия дедушка
141	дедушка	1		60-68	любить родитель бабушка прабабушка дедушка
142	дедушка	2		8-16	смотреть дедушка входить поуступать место
143	дедушка	2		16-24	первый этаж дедушка жить родственник нет заходить помогать
144	дедушка	2		21-29	тут подходить дедушка совсем седенький стать говорить «гриша защищать плохой убийство почему рабоче-крестьянский власть крестьянство делать царь
145	дедушка	2		90-98	дед иван вскоре поднимать медсестра проверить пульс давление сказать дедушка боль питаться надо хорошо
146	дежурная	1		43-52	что-то понадобиться обращаться дежурная
147	дежурная	1		0-9	дежурная распоряжаться порядок выступать
148	дежурная	1		13-22	пансион дежурный кухня изжарить начальница котлета жеваный бумага
149	дежурная	1		8-17	видимо дежурная понимать отец предынфарктный состояние «скорая» приезжать минута
150	дежурная	1		5-14	дежурная готовить маршрут борзов приводить маневровый тепловоз движение
151	дежурная	1		51-60	ресторан играть радиола дело прерывать дежурная объявлять посадка ташкент алма-ата
152	дежурная	2		48-57	вечер институт оставаться уборщица дежурная
153	дежурная	2		23-32	турникет будка дежурная
154	дежурная	2		76-85	елизавета максимовна записывать журнал полулюкс жить новый дежурная сидеть пост третий этаж настя спрашивать проводить недоброжелательный взгляд
155	дежурная	2		0-9	дежурная уходить куда-то внутрь полный уверенность найтись нахал полезть самолет позволение
156	дежурная	2		0-9	дежурная выходить будка сноровисто палец подцепать билет
157	дежурная	2		47-56	входить дом колхозник справляться старуха дежурная вязать перегородка носок кто-нибудь седьмой номер
158	дежурный	1		14-23	подходить дежурный вокзал предлагать помощь
159	дежурный	1		12-21	перемена дежурный вытереть доска вымыть тряпка
160	дежурный	1		26-35	вызываться бессрочно дежурный каждый перемена проветривать класс
161	дежурный	1		23-32	ливанов сухарев дежурный уборка задерживаться театр убирать проветрить помещение
162	дежурный	1		29-39	время раздаваться свисток дежурный перрон
163	дежурный	1		0-9,132-141	дежурный сидеть типография рассвет каждый час стол звонить телефон киселев передавать поправка сегодня дежурный камера новенький вчера приводить
164	дежурный	2		7-16	ночной дежурный
165	дежурный	2		14-23	вход стоять дежурный
166	дежурный	2		12-21	общежитие дежурный ночь телефон подзывать
167	дежурный	2		4-13	эй дежурный скорее врач сердечный припадок заключенный
168	дежурный	2		98-107	вход варенуха входить здание неизбежно должен встречать ночной дежурный
169	дежурный	2		11-21	качество дежурный контролировать вход здание сидеть столик вестибюль
170	дежурный	2		8-18	надо дежурный вещь оставлять случай
171	декабрист	1		16-28	тайный общество декабрист
172	декабрист	1		10-22	восстание декабрист сенатский площадь
173	декабрист	1		5-17	жена декабрист отправляться каторга муж
174	декабрист	1		50-62	тринадцатый июль вершиться казнь вешать декабрист
175	декабрист	1		62-73	слушатель крамольный роман иванов правнук декабрист кондрашев приговорять восстание год отметить трогательный приезд сибирь полюбить гувернантка француженка
176	декабрист	1		0-11	декабрист евгений оболенский михаил бестужев-рюмин мемуар писать приезд трубецкой волконская высокий женщина русский сердцу» благотворно подействовать сибирский узник
177	декабрист	1		56-67	ложе добродетелей» входить видный будущий декабрист с. п. трубецкой н. м. муравьев ф. п. шаховская
178	декабрист	2		42-52	разновидность кактус часто называть «декабрист»
179	декабрист	2		30-40	подоконник стоять цветущий декабрист
180	декабрист	2		7-17	декабрист цвести окно зима род тропический лес
181	декабрист	2		61-72	еще лететь огромный белый похожий лилия цветы декабрист
182	декрет	1		0-7	декрет утверждение временный правительство
183	декрет	1		73-80	сентябрь год правительство легализовать террор издать знаменитый декрет «о красный терроре»
184	декрет	1		82-91	процесс ресталинизация называть ползучий потому вводиться декрет особый решение постепенно шаг шаг обволакивать общественный жизнь
185	декрет	1		47-54	март год фердинанд изабелла издавать декрет еврей мужской женский пол обязывать покидать испания июль год
186	декрет	1		40-48	рабочий день час еще декрет труд октябрь год
187	декрет	1		0-9	декрет февраль год наркомфин предлагать обеспечивать чеканка серебряный монета январь год сумма миллион рубль
188	декрет	2		30-37	учительница математика уходить декрет
189	декрет	2		38-46	март рождать уже вернуться декрет
190	декрет	2		78-85	борис балашов отыскивать скромный ставка киножурнал отправляться декрет беременный сотрудница
191	декрет	2		24-32,34-41	замуж выходить так декрет декрет утро вечер готовить стирать гладить прибирай оля андрюша смотреть
192	декрет	2		64-71	пропустить срок любой советский женщина уходить декрет рожать малыш окрепнуть возвращать домой
193	декрет	2		24-31	женщина мочь уходить декрет боязнь терять работа докладывать госпожа лахов
194	дело	1.1		14-19	дело
195	дело	1.1		24-29,40-45	сегодня город дело быть твой дело решаться договор продлевать
196	дело	1.1		29-36,130-134	утро хозяин заниматься дело чинить забор копаться огородевставай говорить печально сурово сегодня много дело
197	дело	1.1		21-25	работа дом дело невпроворот покупать приготовить выстирать
198	дело	1.1		36-42	находить овес двор оказываться дело нелегкий
199	дело	1.1		32-37	ромаш дело мочь помогать
200	дело	1.1		66-71	поехать париж понятие иметь конец дело браться
201	дело	1.2		7-12	добрый дело
202	дело	1.2			полезный
203	дело	1.2		19-24	делать черный дело
204	дело	1.2		28-33	господь совершенный дело думать больной
205	дело	1.2		4-10	дело слово мысль виноватый
206	дело	1.2		58-63	энергия сила направляться великий дело
207	дело	1.2		75-80	рост сказать вита подходить стоянка такси сделать добрый дело устроить юрка работа
208	дело	1.2		65-70	стремиться тогда делать страшный дело
209	дело	1.2		57-62	остров проводить расчистка лесополос делать хороший дело
210	дело	2.1		8-13	человек дело
211	дело	2.1		0-5	дело время потеха час
212	дело	2.1		0-5	дело мастер бояться
213	дело	2.1		7-12	больше дело слово
214	дело	2.1		54-59	мыслить мечтать мочь германия франция италия дело делать россия
215	дело	2.1		54-59	оканчивать юридический факультет год проболтаться дело
216	дело	2.1		40-45	формовщик отливать гипс потом дело брать камнерез
217	дело	2.1		100-105	жизнь полный край энергия молодой батюшка хоть отбавлять каждый минута день идти дело
218	дело	2.1		150-156,179-184	рисовать картинка работа сам любить бемби частенько рисовать что-то закрываться рука считать заниматься дело урок учить дело
219	дело	2.2		24-28	министерство внутренний дело
220	дело	2.2		11-18	управление дело
221	дело	2.2		21-25	коллегия иностранный дело занимать часть главный штаб
222	дело	2.2		76-82	направлять копия письмо председатель государственный комитет дело издательство полиграфия книжный торговля совет министр ссср
223	дело	2.2		30-36	требовать портфель министр дело искусство говорить нет министерство
224	дело	2.2		35-41	помочь пробивать стена комитет дело изобретение соавтор
225	дело	2.3		9-14	успех дело просвещение
226	дело	2.3		5-10	дело правый
227	дело	2.3		12-17	борьба дело коммунистический партия готовый
228	дело	2.3		12-17	стоять дело мир готовиться война
229	дело	2.3		25-30	всецело принадлежать дело великий борьба освобождение рабочий класс
230	дело	3.1		8-13	военный дело
231	дело	3.1		8-12	часовой дело мастер
232	дело	3.1		94-100	сначала дед ремонтировать часы хозяйственный утварь потом заниматься типографский дело
233	дело	3.1		20-25	знать переплетный дело любить переплетать книга
234	дело	3.1		22-27	уже тогда сапожный дело развиваться починка обувь время город уже кожевенный завод
235	дело	3.1		77-82	учитель первый муж антон иванович флотов великий мастер чертежный дело можно сказать искусство
236	дело	3.1		132-138	полиция надо дружить так случай учить дед отец сам жизнь заниматься огранкий камень ювелирный дело
237	дело	3.2		22-27	мечтать собственный дело
238	дело	3.2		29-34	заработать деньги открыть дело
239	дело	3.2		43-48	военный служба хотеть открывать дело
240	дело	3.2		64-69	пятый успевать бежать слух осесть канада где открывать дело гнать стружка древесный спирт
241	дело	3.2		21-26	создавать собственный дело экспериментально -творческий объединение «шоу -иллюзион игорь кио»
242	дело	3.2		37-42	мужик хваткий открывать собственный дело производство пластиковый окно
243	дело	3.2		22-27	чжан инь открывать дело использование перерабатывать макулатура гонконг год
244	дело	4.1		5-10	суть дело
245	дело	4.1		14-19	давать близко дело
246	дело	4.1		10-15	дело
247	дело	4.1		10-15	тут дело
248	дело	4.1		79-84	гордый ироничный иногда высокомерный всегда беспощадный оценка дело касаться стихи
249	дело	4.1		88-93	игорь нетто жениться актриса театр малый бронный ольга яковлева впрочем дело относиться
250	дело	4.1		8-13	главный дело пиджак забрать рубаха оставлять
251	дело	4.1		78-83,86-91	получать деньги нужный вводить родственник курс дело дело состоять научно-исследовательский лаборатория работать василий васильевич лебедев изобретать чудодейственный бальзам
252	дело	4.1		116-121,129-134	расти популярность блог вполне объяснимый большинство человек существовать потребность высказывать мнение дело дело
253	дело	4.2		12-17	дело
254	дело	4.2		15-20	решать сам дело предлагать
255	дело	4.2		71-76,104-108,117-122	где шлеп появляться всегда бить лезть дело шлеп считать дело нет дело общий
256	дело	4.2		16-21	дело маленький приказать выполнить отвечать
257	дело	4.2		45-50	вообще думать мировой конъюнктура дело законодатель
258	дело	4.2		60-65	хотеть строить домысел вести расследование дело полиция
259	дело	4.2		9-14	дело главный экономист ездить подсобный хозяйство рыба
260	дело	4.2		7-12	дело верховный суд швеция вопрос решать уровень глава государство дипведомство
261	дело	4.3		8-13	нет дело проблема
262	дело	4.3		10-15	дело
263	дело	4.3		14-19	дело одевать
264	дело	4.3		21-26	дело песня
265	дело	4.3		72-77	почему-то неприятный строго говорить дело
266	дело	4.3		42-47	господи тут лариса дело лариса
267	дело	4.3		11-16	нет дело дугаев мочь выдерживать шестнадцатичасовой рабочий день
268	дело	4.3		39-44	влюбленный нет дело видеть замечать друг друг
269	дело	5.1		5-10	быть дело
270	дело	5.1		0-5	дело так
271	дело	5.1		24-29	потом узнавать быть дело
272	дело	5.1		0-5	дело прошлое вспоминать
273	дело	5.1		0-5	дело идти лад
274	дело	5.1		0-5	дело давно минуть день преданья старина глубокий
275	дело	5.1		66-71	сидеть левый щека замерзать окно автобус простужаться дело быть рождество
276	дело	5.1		17-22	впрочем дело двадцатилетний давность теперь истина мочь устанавливать
277	дело	5.1		7-12	дело происходить дворовый площадка здесь находиться закричать голос «судь
278	дело	5.1		72-77	октябрь отправлять домой пополнеть твердо уверенный дело идти поправка
279	дело	5.1		43-48	продолжать философствовать далее дело идти выигрыш проигрыш умолкать
280	дело	5.2		13-18	как дело
281	дело	5.2		12-17	обстоять дело отпуск
282	дело	5.2		47-52,73-78	заходить сразу спрашивать там дело войновича? дело сказать дядя зуй клеенка
283	дело	5.2		45-50	нунан приниматься рассказывать институтский дело
284	дело	5.2		42-46	затем следовать вопрос наташкин дело глаз исправить тройка физика давать морковка сырой тертый
285	дело	6.1		4-9	дело серьезный
286	дело	6.1		27-32	выпивать дорожка святой дело
287	дело	6.1		18-24	болезнь оказываться дело временной
288	дело	6.1		11-16	быть дело
289	дело	6.1		36-41	мозоль быть страшный дело
290	дело	6.1		43-48	судиться мать самый лишний земля дело
291	дело	6.1		24-30	угон самолет уже становиться дело обыкновенный
292	дело	6.1		14-19	поразительный дело дубленку день огонь сыскивать москва дубленка
293	дело	6.1		67-72	объяснять понимать рассердиться воспринимать дело житейский
294	дело	6.1		8-13,30-35	дело узнавать другой дело сходка говорить
295	дело	6.2		7-12	дело
296	дело	6.2		19-24	так поступать дело
297	дело	6.2		0-5	дело говорить
298	дело	6.2		55-60	послушать архип сказать немного помолчать дело затевать
299	дело	6.2		10-15,84-89,93-98	дело ночь дамочка пускать улица родилан дело дело сказать осуждение пелагея
300	дело	6.2		43-48,100-105	послушать сказать дело маленький ребята пускать один водувот дело приходить восторг потерпевший
301	дело	6.3		0-5	дело случай
302	дело	6.3		0-5	дело время
303	дело	6.3		0-5	дело честь
304	дело	6.3		24-29,106-111	поезд теперь редкость дело случаять хотеть разбираться вопрос сердито сказать дело принцип
305	дело	6.3		24-30	узнавать пашин адрес дело техника
306	дело	6.3		7-12	теперь дело малый находить сам револьвер
307	дело	6.3		59-64	заявлять правоохранительный орган задержание дело день
308	дело	6.3		0-5	дело спрос объем существенно зависеть цена чип
309	дело	7.1		10-15	уголовный дело
310	дело	7.1		9-14	слушание дело назначать час
311	дело	7.1		39-44	сегодня следователь вызывать дело диденко
312	дело	7.1		27-32	быть новый инструкция дело род тянуться более месяц посылать москва
313	дело	7.1		33-38,54-59	привлеченный шахтинский дело платоновский дело славист
314	дело	7.1		52-57	михайлика коровник признавать потерпевший дело
315	дело	7.1		92-97	подчиненный бедерина проводить проверка итог чекин становиться фигурант уголовный дело вымогательство
316	дело	7.2		2-7	дело иметься рапорт участковый инспектор заключение эксперт
317	дело	7.2		48-53	объявлять благодарность занесение личный дело
318	дело	7.2		72-77	первый допрос отрицать близость толстый дело лежать стол извлекать фотография показывать
319	дело	7.2		63-68	сумасшедший корчить разъяриться судья дело иметься справка вменяемость
320	дело	7.2		32-37	быть том дело гкчп прочий допрос павел грачев
321	дело	7.2		71-75	архив ознакомлять папка оперативно розыскной уголовный дело гриф «совершенно секретно»
322	дело	7.2		37-42	запрещаться сбор внесение личный дело сведение политический религиозный принадлежность прокурорский работник
323	дело	7.2		67-72	помощница нотариус ошибка заводить разный наследственный дело один квартира
324	демобилизация	1		15-29	увольнять демобилизация обеспечиваться обмундирование счет государство
